,Titles,URL,Category,Rating
64,BYJU’S Learning App featuring Disney,com.tangibleplay.k3us,['EDUCATION'],4.2597404
65,"Enki: Learn data science, coding, tech skills",com.enki.insights,['EDUCATION'],4.602368
66,Excellence Learning Hub,me.createforlife.excellence.assessmentandroid,['EDUCATION'],4.5142856
67,Udemy - Online Courses,com.udemy.android,['EDUCATION'],4.4275084
68,Practically - Learning app,com.thirdflix.practically,['EDUCATION'],4.0207853
69,Preply: Learn any language,com.preply,['EDUCATION'],4.1298075
70,Grasshopper: Learn to Code,com.area120.grasshopper,['EDUCATION'],4.6816063
71,"Cuemath: Math Games, Online Classes & Learning App",com.cuelearn.cuemathapp,['EDUCATION'],4.4214797
72,Preschool and Kindergarten Learning Games,com.kevinbradford.games.preschoolgames,['GAME_EDUCATIONAL'],4.0731707
73,LingoDeer - Learn Languages,com.lingodeer,['EDUCATION'],4.628816
74,Programming Hub: Learn to code,com.freeit.java,['EDUCATION'],4.6903462
75,"Mimo: Learn coding in HTML, JavaScript, Python",com.getmimo,['EDUCATION'],4.693231
76,FlashAcademy® - Language Learning,com.learninglabs.flashsticks,['EDUCATION'],4.2533937
77,Kids Spelling Learning - Learn to spell and speak,com.ashvindalwadi.kidsspellinglearning,['EDUCATION'],4.17342
78,upGrad - Online Learning Courses,com.upgrad.student,['EDUCATION'],4.3415575
79,ELSA - Learn English Speaking,us.nobarriers.elsa,['EDUCATION'],4.6348767
80,Cornerstone Learn,com.csod.learning,['EDUCATION'],4.568513
81,Learn 33 Languages Free - Mondly,com.atistudios.mondly.languages,['EDUCATION'],4.6356153
82,Babbel - Learn Languages,com.babbel.mobile.android.en,['EDUCATION'],4.562197
83,Learn Languages with Music,com.elasthink.lyricstraining,['EDUCATION'],4.8122673
84,Pimsleur - Learn Conversation,com.simonandschuster.pimsleur.unified.android,['EDUCATION'],4.5197
85,italki: Learn languages with native speakers,com.italki.app,['EDUCATION'],4.2496834
86,Lingvist: Learn Languages Fast,io.lingvist.android,['EDUCATION'],4.240922
87,iSpring Learn,com.ispring.islearn,['EDUCATION'],4.7943263
88,Mindvalley: Learn and Transform Your Life,com.mindvalley.mva,['EDUCATION'],4.4779773
89,"Beelinguapp: Learn Spanish, English, French & More",com.david.android.languageswitch,['EDUCATION'],4.600661
90,Speakly: Learn Languages Free,com.owlab.speakly,['EDUCATION'],4.465483
91,Learn Tagalog Language with Master Ling,com.simyasolutions.ling.fil,['EDUCATION'],4.65873
92,"Innovative 101: Learn Spanish, English, & 32 more",com.innovativelanguage.innovativelanguage101,['EDUCATION'],4.6151824
93,"LearnMatch: Learn Languages, Learn English",net.learnmatch.app,['EDUCATION'],4.514947
94,Learn AI & ML with Python,ai.artificialintelligence.artificial.intelligence.programming.learn.coding.robotics.leanai,['EDUCATION'],4.61
95,Learn Hebrew Free,com.language.learnhebrew,['EDUCATION'],4.592908
96,Encode: Learn to Code,com.upskew.encode,['EDUCATION'],4.514235
97,Learn Cyber Security & Online Security Systems,cyber.security.learn.programming.coding.hacking.software.development.cybersecurity,['EDUCATION'],4.700637
98,Speekoo - Learn a new language,com.speekoo.app_fr,['EDUCATION'],4.8470154
99,"Learn DS & Algo, Programming Interview Preparation",free.programming.programming,['EDUCATION'],4.4256883
100,Educational games for kids,com.appquiz.educational.games,['GAME_EDUCATIONAL'],4.284781
101,Educative Matching Pairs Free,vfc.memory.free,['GAME_EDUCATIONAL'],4.5
102,Learn to Read with Tommy Turtle,com.intellijoy.android.reading.free,['GAME_EDUCATIONAL'],4.273559
103,Kids Educational Game Free,com.pescapps.gamekidsfree,['GAME_EDUCATIONAL'],4.2606597
104,Math learning for kids,com.developdroid.mathforkids,['GAME_EDUCATIONAL'],4.141141
105,123 Numbers - Count & Tracing,com.rvappstudios.numbers123.toddler.counting.tracing,['GAME_EDUCATIONAL'],4.3030305
106,Educative Gospel Videos,com.videopro.educativegospelvideos,['EDUCATION'],4.8
107,Educational Games 4 Kids,com.pescapps.game4kids,['GAME_EDUCATIONAL'],4.165619
108,Codecademy Go,com.ryzac.codecademygo,['EDUCATION'],4.649312
109,O'Reilly,com.safariflow.queue,['EDUCATION'],4.40201
110,Pluralsight – The Technology Skills Platform,com.pluralsight,['EDUCATION'],4.6242003
111,Coursera,org.coursera.android,['EDUCATION'],4.195688
112,Kids Preschool Learning Games - 150 Toddler games,com.kids.preschool.learning.games,['GAME_EDUCATIONAL'],4.3363805
113,Knowledge: Learn more about the universe,com.hselmi.kip,['EDUCATION'],4.21
114,My Town: Home Doll house - Family Playhouse,mytown.home,['GAME_EDUCATIONAL'],4.238525
115,Microsoft Family Safety,com.microsoft.familysafety,['PARENTING'],4.009242
116,My Family - Family Locator,family.tracker.my,['PARENTING'],4.259491
117,OurFamilyWizard Co-Parent App,com.ourfamilywizard,['PARENTING'],4.4217687
118,Pepi House: Happy Family,com.pepiplay.pepihome,['GAME_EDUCATIONAL'],4.0692725
119,"Qeepsake: Family Album, Baby Book, Memory Journal",co.qeepsake.qeepsakeApp,['PARENTING'],4.7867436
120,"Pedagogy: NEET, JEE, NET Books & Courses",study.pedagogy.android,['EDUCATION'],4.6269665
121,Pedagogy Teaching Skills Education MCQs,com.sineixlabs.mcqshivepedagogy,['EDUCATION'],4.755102
122,PedagogicalAura - The Learning App,com.pedagogicalaura,['EDUCATION'],4.852941
123,CTET Pedagogy In Urdu,com.baigacademy_in.ctet.pedagogyinurdu,['EDUCATION'],4.047619
124,Pedagogy MCQ,com.jdapp.pedagogymcq,['EDUCATION'],4.178571
125,Child Development and Pedagogy in Hindi,nirguru.childdevelopmentinhindi,['EDUCATION'],4.010101
126,Planboard - Free Lesson Planner for Teachers,com.chalk.planboard,['EDUCATION'],4.5897436
127,CTET 2020 Child Development And Pedagogy,io.kodular.ankushkumarpal22.CTET_2019,['EDUCATION'],4.3846154
128,Planbook Mobile,com.planbook.lessonplanner,['EDUCATION'],4.8
129,Methods of Teaching - An educational app,com.studetnsapps.methodsofteaching,['EDUCATION'],4.318182
130,Learnflix-Personalised Learning App for Class 6-10,com.learnflix,['EDUCATION'],4.1567163
131,B.ed exam Course,com.bedxm.crselrng,['EDUCATION'],4.1923075
132,UPTET PREPARATION,com.uptet.pedagogy.uptet2019,['EDUCATION'],4.23
133,Becoming a Teacher,becoming.a.teacher,['EDUCATION'],4.357143
134,Children's Bedtime Meditations for Sleep & Calm,com.sleepmeditations.childernsbedtime,['HEALTH_AND_FITNESS'],4.53
135,Jumpy Car ADHD,pt.ivopintoo.jumpy.car.adhd.free,['GAME_EDUCATIONAL'],4.09
136,Magic Land ADHD - Learning School Tasks By Playing,com.jankopia.magiclandadhd,['GAME_EDUCATIONAL'],4.1707315
137,ADHDecoder - Rewire your Brain,com.adhd.decoder,['EDUCATION'],4.2105265
138,Fabulous Daily Routine Planner,co.thefabulous.app,['HEALTH_AND_FITNESS'],4.560416
139,Bearable - Symptoms & Mood tracker,com.bearable,['HEALTH_AND_FITNESS'],4.64759
140,AutiSpark: Kids Autism Games,com.iz.autispark.kids.autism.games.special.needs.educational.learning.therapy.social.skills.speech,['GAME_EDUCATIONAL'],4.22
141,CogniFit - Test & Brain Games,com.cognifit.app,['HEALTH_AND_FITNESS'],4.3941607
142,InnerHour Self-Care Therapy: Anxiety & Depression,com.theinnerhour.b2b,['HEALTH_AND_FITNESS'],4.5484247
143,Memory & Attention Training for Kids,com.hedgehogacademy.memoryattentionlite,['GAME_EDUCATIONAL'],4.37587
144,The Tapping Solution,com.datechnologies.tappingsolution,['HEALTH_AND_FITNESS'],4.4684286
145,Peak – Brain Games & Training,com.brainbow.peak.app,['EDUCATION'],4.3286066
146,Healthy Minds Program,com.healthyminds,['HEALTH_AND_FITNESS'],4.714286
147,MindPal - Brain Training,com.elektron.mindpal,['EDUCATION'],4.364795
148,NeuroNation - Brain Training & Brain Games,air.nn.mobile.app.main,['EDUCATION'],4.574851
149,Lumosity: Brain Training,com.lumoslabs.lumosity,['EDUCATION'],4.4399204
150,Left vs Right: Brain Training Games,com.mochibits.google.leftvsright,['GAME_EDUCATIONAL'],4.4799337
151,Memorado - Brain Games,com.memorado.brain.games,['EDUCATION'],4.3853817
152,Piku - Calm Kids,com.kadadesigns.pikuus,['HEALTH_AND_FITNESS'],4.291139
153,Happy Kids Timer Morning & Evening Routine Chores,com.evoprox.morningroutines,['PARENTING'],4.418495
154,Timo Kids Routine Timer - from Morning to Evening,com.timo.time,['PARENTING'],4.194175
155,Motivator of good behavior - Kids 24,rgmobile.com.sun,['PARENTING'],4.64
156,Kids ToDo List,jp.co.litalico.kidstodolist,['EDUCATION'],4.4521737
157,Positive Parenting Solutions,com.parenting.android,['PARENTING'],4.91
158,Fun Routine - Visual schedules,br.com.phaneronsoft.rotinadivertida,['PARENTING'],4.029703
159,MamaZen: Mindful Parenting for Raising Happy Kids,com.mamazen.app,['PARENTING'],4.757282
160,Kids Brain Trainer (Preschool),brilliant.sari,['GAME_EDUCATIONAL'],4.0210357
161,"Talking ABA Cards - Kids Language Therapy, Autism",com.innovativeworldapps.cardtalk,['EDUCATION'],4.105263
162,Card Talk,jp.co.litalico.cardtalk,['EDUCATION'],4.490741
163,Readability – Learn Reading & Comprehension,com.readability.androidapp,['EDUCATION'],4.4903846
164,CBT Companion: (Cognitive Behavioral Therapy app),co.swasth.cbtcompanion,['HEALTH_AND_FITNESS'],4.657718
165,"Family360 - Family Locator, GPS Tracker for Safety",com.testlab.family360,['PARENTING'],4.114286
166,"Family Tools: Family Organizer, Calendar & Planner",app.familytools.twa,['PARENTING'],4.0652175
167,Chores & Allowance Bot,com.wingboat.AllowanceBot,['PARENTING'],4.385321
168,Manatee: Mental health for families,com.manateeandme.app,['HEALTH_AND_FITNESS'],4.285714
169,ABA Cards: Flashcards for Autism Therapy,com.ludenio.r8rf,['EDUCATION'],4.1568627
170,"CBT Thought Diary - Mood Tracker, Journal & Record",com.moodtools.cbtassistant.app,['HEALTH_AND_FITNESS'],4.538961
171,Dyslexia Reading Test,com.onlinereadingtutor,['EDUCATION'],4.07
172,Augmenta11y – Dyslexia-friendly reading app,com.oswaldlabs.augmenta11y,['EDUCATION'],4.0857143
173,Dytective para dislexia. Mejora tu lecto-escritura,org.changedyslexia.newdytective,['EDUCATION'],4.563063
174,Easy Spelling Aid + Translator & Dyslexia Support,com.nuapp.easyspelling,['EDUCATION'],4.0666666
175,Kids Story Books Pre-school + Dyslexia: LOLA SLUG,com.giuliaolivares.lolaslug001,['EDUCATION'],4.2777777
176,VR In the shoes of a child with Dyslexia,net.smileandlearn.dyslexia,['EDUCATION'],4.2727275
177,GALEXIA Reading Fluency,com.PambuDev.galexia,['GAME_EDUCATIONAL'],4.34
178,Ultimate Phonics Reading App,com.spencerlearning.ultimatephonics,['EDUCATION'],4.2178216
179,Teach Your Monster to Read: Phonics & Reading Game,com.teachyourmonstertoread.tmapp,['GAME_EDUCATIONAL'],4.329114
180,Kids Spelling & Reading Games,com.iz.kids.word.search.games.spelling.words.vocabulary.letters.kindergarten.preschool.learning,['GAME_EDUCATIONAL'],4.06
181,SplashLearn: Kids Math & Reading Learning Games,com.splash.kids.education.learning.games.free.multiplication.reading.math.grade.app.splashmath,['EDUCATION'],4.107843
182,Visual Reading® – special education,com.normex.visualreadingenginapp,['EDUCATION'],4.29
183,Phonics: Reading Games for Kids & Spelling Apps,com.binibambini.supersyllables,['GAME_EDUCATIONAL'],4.530303
184,Tablexia,cz.nic.tablexia,['GAME_EDUCATIONAL'],4.11
185,Learn to Read: Kids Games,com.rvappstudios.sight.words.phonics.reading.kids.games,['GAME_EDUCATIONAL'],4.1348314
186,Spelling and Grammar,com.holucent.grammar,['EDUCATION'],4.45
187,Kids Learn English Reading: Learn how to pronounce,com.ackad.kidslearnenglishreading,['EDUCATION'],4.304348
188,ANTON - the free elementary school learning app,com.solocode.anton,['EDUCATION'],4.818345
189,Sir Linkalot Spelling,com.sirlinkalot.kaldor,['EDUCATION'],4.075472
190,Phonogram Sounds,com.allaboutlearningpress.phonogramsounds,['EDUCATION'],4.06
191,Hooked on Phonics Learn & Read,com.BigYellowTaxi.HookedPhonics,['EDUCATION'],4.1086955
192,Starfall Learn to Read,air.com.starfall.ltr,['EDUCATION'],4.126374
193,Learn to Spell & Write,com.orange.kids.learn.spell.write.words,['GAME_EDUCATIONAL'],4.013289
194,Frederick: Learn to Read,com.englishanyone.frederick2,['EDUCATION'],4.77
195,Seesaw Parent & Family,seesaw.shadowpuppet.co.seesaw,['EDUCATION'],4.2250686
196,BetterHelp - Therapy,com.betterhelp,['HEALTH_AND_FITNESS'],4.587165
197,ClassDojo,com.classdojo.android,['EDUCATION'],4.7348294
198,PTSD Coach,is.vertical.ptsdcoach,['HEALTH_AND_FITNESS'],4.563025
199,Mindfulness Coach,gov.va.mobilehealth.ncptsd.mindfulnesscoach,['HEALTH_AND_FITNESS'],4.7517986
200,Skillz - Logic Brain Games,net.rention.mind.skillz,['GAME_EDUCATIONAL'],4.2932925
201,Kids Fitness - Exercises For Kids & Yoga For Kids,com.codeplayon.exerciseforkids,['HEALTH_AND_FITNESS'],4.3627453
202,Kids Educational Games. Attention,com.edujoy.Visual_Games,['GAME_EDUCATIONAL'],4.161972
203,IntellectoKids Learning Games,com.intellectokids.academy,['GAME_EDUCATIONAL'],4.126582
204,Baby Learning Shapes and Color,com.leeplay.babyshapes,['GAME_EDUCATIONAL'],4.44
205,Learn First Words - Baby Flashcards,com.TooFunnyArtists,['EDUCATION'],4.46
206,Autism Treatment Evaluation Checklist (ATEC). ASD,ru.atec,['PARENTING'],4.118812
207,Montessori Preschool,com.edokicademy.montessoriacademy,['EDUCATION'],4.015831
208,Sight Words Sentence Builder: Reading for Kids,air.com.sierravistasoftware.SightWordsSB1,['EDUCATION'],4.4114285
209,Coco – Educational Games For Kids 2021,com.dynseo.stimart.coco.fr,['GAME_EDUCATIONAL'],4.730769
210,Study.com - Online Courses,com.study.app,['EDUCATION'],4.1013823
211,Math & Logic - Brain Games: Preschoolers to Age 10,com.imagiration.math,['EDUCATION'],4.56
212,Parental Control App & Location Tracker - FamiSafe,com.wondershare.famisafe,['PARENTING'],4.7995863
213,Zoemob Family Locator,com.zoemob.gpstracking,['PARENTING'],4.083431
214,Psychiatry & Psychology,com.andromo.dev553557.app1008645,['EDUCATION'],4.4761906
215,MySchool - Be the Teacher! Learning Games for Kids,com.sbt_human.ptitsprofs,['GAME_EDUCATIONAL'],4.492178
216,Autism Assisted,com.autismassisted,['HEALTH_AND_FITNESS'],4.839286
217,"PictoBoard: Help talk, Autism, Language, Therapy",com.chihuasdevs.helpmetalkapp,['EDUCATION'],4.3207545
218,Autism Diary,com.wellbeingdiaries.autismdiary,['HEALTH_AND_FITNESS'],4.225
219,Autism,meviapp.autismo,['EDUCATION'],4.1666665
220,Autism Aid App,com.autismambassadors.autismaid,['EDUCATION'],4.422222
221,TEAPP - Autism and videogames,com.IKKI.TEApp,['GAME_EDUCATIONAL'],4.097561
222,Sensory Baby Toddler Learning,com.SensoryPlayApps.SensoryFishFree,['GAME_EDUCATIONAL'],4.1009517
223,PictoTEA,ar.com.velociteam.pictoTEA,['EDUCATION'],4.3
224,Face-ABA,ifma.faceaba,['GAME_EDUCATIONAL'],4.6923075
225,Toddler Kids Puzzles PUZZINGO,com.sx.puzzingo,['EDUCATION'],4.6113305
226,Toddler Puzzles for Kids - Baby Learning Games App,com.pzl1.toddler.puzzles,['GAME_EDUCATIONAL'],4.620713
227,Huni - AI Speech Training Kids with Delayed Speech,org.dreamoriented.huni,['EDUCATION'],4.515625
228,ASDetect,au.edu.latrobe.asdetect,['PARENTING'],4.4038463
229,Spoken - Tap to Talk AAC,com.spoken.app,['HEALTH_AND_FITNESS'],4.12
230,SPED Goals,com.specialNeeds.mobile,['EDUCATION'],4.9310346
231,Rehab Coach: CVA Stroke Rehabilitation Recovery,com.blackfrogweb.rehabcoach,['HEALTH_AND_FITNESS'],4.5
232,Rehab My Patient - for Therapists,com.rehabmypatient.app,['HEALTH_AND_FITNESS'],4.3510637
233,Rehab Guru Pro,com.rehabguru.rehabguru,['HEALTH_AND_FITNESS'],4.090909
234,Lu Strength & Rehab,com.lustrengththerapy.app.store.own,['HEALTH_AND_FITNESS'],4.8125
235,JP REHAB ACADEMY,co.martin.nrnmt,['EDUCATION'],4.9
236,Eye Exercises & Eye Training Plans - Eye Care Plus,com.eyeexamtest.eyecareplus,['HEALTH_AND_FITNESS'],4.236242
237,Nobu Mental Wellness & Therapy,com.advancedrecoverysystems.nobu,['HEALTH_AND_FITNESS'],4.0285716
238,Home Physio,com.homephysio,['HEALTH_AND_FITNESS'],4.366667
239,PBS KIDS Video,org.pbskids.video,['EDUCATION'],4.358801
240,Exercise for Kids at home,com.exerciseforkids.kidsworkout,['HEALTH_AND_FITNESS'],4.6480446
241,Kids Exercise: Warm up & Yoga for Kids,com.yogaforkids.kidsexercise,['HEALTH_AND_FITNESS'],4.5
242,Doctor Kids 2,com.bubadu.doctorkids2,['GAME_EDUCATIONAL'],4.230608
243,Brush Up,com.gtw.BrushUp,['HEALTH_AND_FITNESS'],4.2430553
244,KidloLand Kids & Toddler Games,com.internetdesignzone.nurseryrhymes,['GAME_EDUCATIONAL'],4.184099
245,Story Books For Kids & Parents,au.com.penguinapps.android.readsentences,['GAME_EDUCATIONAL'],4.097035
246,MedBridge,com.medbridgeed.clinician,['EDUCATION'],4.86
247,Strocit :Post stroke exercises,com.sunpharma.strocit,['EDUCATION'],4.465909
248,Physiopedia,com.physiopedia.physiopedia,['EDUCATION'],4.3
249,Dare To Be Active,app.ongo.client.android_626daf9b887b4972b9f9f1913c6ab796,['HEALTH_AND_FITNESS'],4.712329
250,Physio Study- Physiotherapy Books & Guide,physioshelf.zain.com,['EDUCATION'],4.42
251,Back pain relief exercises at home,com.vratsev.bpex,['HEALTH_AND_FITNESS'],4.7363796
252,Physical Therapy Dictionary,com.physical.user.dictionar,['EDUCATION'],4.285714
253,Sober Meditations and Recovery Study Guide,com.sobermeditationsapp.android.sober,['HEALTH_AND_FITNESS'],4.756098
254,"Perfect Ear - Music Theory, Ear & Rhythm Training",com.evilduck.musiciankit,['EDUCATION'],4.7035575
255,MedBridge GO for Patients,com.medbridgeed.hep.go,['HEALTH_AND_FITNESS'],4.8618665
256,Dear Sir | The Learning App - Online Course | Free,com.dearsir.app,['EDUCATION'],4.4486303
257,In the Know LMS,com.knowingmore.android,['EDUCATION'],4.173913
258,Eyes recovery workout,com.shvagerfm.eyecorrector1,['HEALTH_AND_FITNESS'],4.7371616
259,"Centr, by Chris Hemsworth",com.centr.app,['HEALTH_AND_FITNESS'],4.608818
260,Learn Tai Chi,io.odeum.learntaichi,['HEALTH_AND_FITNESS'],4.1666665
261,VRsteps | Home Rehabilitation,co.vrsteps.app,['HEALTH_AND_FITNESS'],4.6086955
262,iMuscle 2,com.the3d4medical.imuscle2.smartphones,['HEALTH_AND_FITNESS'],4.08156
263,"Shiksha.com Explore Colleges, Courses & Exams",com.shiksha.android,['EDUCATION'],4.1236444
264,"Sadhguru - Yoga, Meditation & Spirituality",com.ishafoundation.app,['HEALTH_AND_FITNESS'],4.733063
265,Wonster Words: ABC Phonics Spelling Games for Kids,com.sx.wonsterwords,['EDUCATION'],4.2344213
266,WEconnect Recovery,com.weconnectv2,['HEALTH_AND_FITNESS'],4.26
267,Dose - Drug Journal,io.doseapp.android,['HEALTH_AND_FITNESS'],4.28
268,Sober Peer,com.soberpeer,['HEALTH_AND_FITNESS'],4.6666665
269,Lasting: Marriage Counseling,com.lasting.lasting,['HEALTH_AND_FITNESS'],4.421217
270,ITAcademy,com.fortmobile.itacademy,['EDUCATION'],4.37
271,Black Lama,ch.studerraimann.ilias.fhoevnrw,['EDUCATION'],4.3
272,Hoa Sen,vn.edu.hoasen.htttql,['EDUCATION'],4.22
273,"Mindy - medytacja, sen, muzyka",app.mindy,['HEALTH_AND_FITNESS'],4.3069305
274,UJJWAL KUMAR SEN,co.hodor.cntyx,['EDUCATION'],4.3333335
275,Twilight: Blue light filter for better sleep,com.urbandroid.lux,['HEALTH_AND_FITNESS'],4.582517
276,Kids Learning Tube,com.w35ef400ff78.www,['EDUCATION'],4.5666666
277,Picture Stories For Kids,com.storiesforkids.kidsstorybook,['EDUCATION'],4.4405594
278,Kids Preschool Learning Songs & Offline Videos,abc.kids.preschool.learning.phonics.songs.videos,['EDUCATION'],4.2646155
279,Baby Games for 1+ Toddlers,com.educational.baby.games,['GAME_EDUCATIONAL'],4.673146
280,Learning Genie for Parents,com.learninggenie.parent,['EDUCATION'],4.34
281,First Words for Baby,com.babylearninghub.myfirstwords,['EDUCATION'],4.4545455
282,Learn Kali Linux,lifegoal.helpinghands.kalilinux,['EDUCATION'],4.069307
283,Play and Learn Science,org.pbskids.playandlearnscience,['GAME_EDUCATIONAL'],4.098039
284,Lingvano - Learn Sign Language,com.lingvano.app,['EDUCATION'],4.751121
285,Sign Language ASL - Pocket Sign,com.mobireactor.signlanguage,['EDUCATION'],4.7787
286,Learn Languages - FunEasyLearn,com.funeasylearn.languages,['EDUCATION'],4.520376
287,Lip Reading Academy: Learn and Train with Fun,digital.dong.lipreading,['EDUCATION'],4.707317
288,Learn Norwegian Free,com.atistudios.italk.nb,['EDUCATION'],4.7444715
